prompt,Payment ID,Sentiment_Result,Sentiment_Label,Sentiment_Score
"Payment PAYMENT-000115 of ₹3046 from account XXXXXXXX5536 was processed on 2025-06-10 with Single validation.
First validation completed on 20250605 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000115,"{'label': 'LABEL_0', 'score': 0.677}",LABEL_0,0.677
"Payment PAYMENT-000116 of ₹6275 from account XXXXXXXX6027 was processed on 2025-06-12 with Dual validation.
First validation completed on 20250608 with outcome: PASSED.
Second validation completed on 20250605 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000116,"{'label': 'LABEL_0', 'score': 0.591}",LABEL_0,0.591
"Payment PAYMENT-000117 of ₹3818 from account XXXXXXXX4419 was processed on 2025-07-17 with Single validation.
First validation completed on 20250714 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000117,"{'label': 'LABEL_0', 'score': 0.637}",LABEL_0,0.637
"Payment PAYMENT-000118 of ₹3201 from account XXXXXXXX5750 was processed on 2025-07-04 with Single validation.
First validation completed on 20250629 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000118,"{'label': 'LABEL_0', 'score': 0.642}",LABEL_0,0.642
"Payment PAYMENT-000119 of ₹4302 from account XXXXXXXX7634 was processed on 2025-06-03 with Single validation.
First validation completed on 20250530 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000119,"{'label': 'LABEL_0', 'score': 0.636}",LABEL_0,0.636
"Payment PAYMENT-000120 of ₹536 from account XXXXXXXX6828 was processed on 2025-07-26 with Single validation.
First validation completed on 20250721 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000120,"{'label': 'LABEL_0', 'score': 0.715}",LABEL_0,0.715
"Payment PAYMENT-000121 of ₹901 from account XXXXXXXX9878 was processed on 2025-07-13 with Single validation.
First validation completed on 20250712 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000121,"{'label': 'LABEL_0', 'score': 0.659}",LABEL_0,0.659
"Payment PAYMENT-000122 of ₹5912 from account XXXXXXXX7102 was processed on 2025-06-18 with Dual validation.
First validation completed on 20250613 with outcome: PASSED.
Second validation completed on 20250612 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000122,"{'label': 'LABEL_1', 'score': 0.531}",LABEL_1,0.531
"Payment PAYMENT-000123 of ₹3148 from account XXXXXXXX2173 was processed on 2025-07-30 with Single validation.
First validation completed on 20250725 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000123,"{'label': 'LABEL_0', 'score': 0.564}",LABEL_0,0.564
"Payment PAYMENT-000124 of ₹8101 from account XXXXXXXX9259 was processed on 2025-07-29 with Single validation.
First validation completed on 20250725 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000124,"{'label': 'LABEL_0', 'score': 0.575}",LABEL_0,0.575
"Payment PAYMENT-000125 of ₹2202 from account XXXXXXXX5566 was processed on 2025-06-24 with Single validation.
First validation completed on 20250622 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000125,"{'label': 'LABEL_0', 'score': 0.656}",LABEL_0,0.656
"Payment PAYMENT-000126 of ₹1136 from account XXXXXXXX7538 was processed on 2025-07-31 with Single validation.
First validation completed on 20250729 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000126,"{'label': 'LABEL_0', 'score': 0.645}",LABEL_0,0.645
"Payment PAYMENT-000127 of ₹7144 from account XXXXXXXX4811 was processed on 2025-07-16 with Dual validation.
First validation completed on 20250713 with outcome: PASSED.
Second validation completed on 20250712 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000127,"{'label': 'LABEL_0', 'score': 0.503}",LABEL_0,0.503
"Payment PAYMENT-000128 of ₹5938 from account XXXXXXXX2354 was processed on 2025-06-24 with Dual validation.
First validation completed on 20250622 with outcome: PASSED.
Second validation completed on 20250621 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000128,"{'label': 'LABEL_1', 'score': 0.545}",LABEL_1,0.545
"Payment PAYMENT-000129 of ₹3408 from account XXXXXXXX3769 was processed on 2025-07-03 with Single validation.
First validation completed on 20250629 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000129,"{'label': 'LABEL_0', 'score': 0.664}",LABEL_0,0.664
"Payment PAYMENT-000130 of ₹9646 from account XXXXXXXX4987 was processed on 2025-06-02 with Dual validation.
First validation completed on 20250531 with outcome: PASSED.
Second validation completed on 20250530 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000130,"{'label': 'LABEL_0', 'score': 0.534}",LABEL_0,0.534
"Payment PAYMENT-000131 of ₹4262 from account XXXXXXXX6536 was processed on 2025-07-19 with Single validation.
First validation completed on 20250718 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000131,"{'label': 'LABEL_0', 'score': 0.61}",LABEL_0,0.61
"Payment PAYMENT-000132 of ₹3421 from account XXXXXXXX8654 was processed on 2025-06-22 with Single validation.
First validation completed on 20250621 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000132,"{'label': 'LABEL_1', 'score': 0.532}",LABEL_1,0.532
"Payment PAYMENT-000133 of ₹7048 from account XXXXXXXX6676 was processed on 2025-07-08 with Dual validation.
First validation completed on 20250706 with outcome: PASSED.
Second validation completed on 20250705 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000133,"{'label': 'LABEL_0', 'score': 0.607}",LABEL_0,0.607
"Payment PAYMENT-000134 of ₹1377 from account XXXXXXXX5745 was processed on 2025-07-16 with Single validation.
First validation completed on 20250711 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000134,"{'label': 'LABEL_0', 'score': 0.58}",LABEL_0,0.58
"Payment PAYMENT-000135 of ₹9881 from account XXXXXXXX9361 was processed on 2025-07-06 with Dual validation.
First validation completed on 20250701 with outcome: PASSED.
Second validation completed on 20250628 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000135,"{'label': 'LABEL_0', 'score': 0.502}",LABEL_0,0.502
"Payment PAYMENT-000136 of ₹385 from account XXXXXXXX6817 was processed on 2025-06-10 with Single validation.
First validation completed on 20250605 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000136,"{'label': 'LABEL_0', 'score': 0.639}",LABEL_0,0.639
"Payment PAYMENT-000137 of ₹5668 from account XXXXXXXX9713 was processed on 2025-07-13 with Dual validation.
First validation completed on 20250711 with outcome: PASSED.
Second validation completed on 20250710 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000137,"{'label': 'LABEL_1', 'score': 0.575}",LABEL_1,0.575
"Payment PAYMENT-000138 of ₹8421 from account XXXXXXXX3884 was processed on 2025-06-10 with Dual validation.
First validation completed on 20250608 with outcome: PASSED.
Second validation completed on 20250605 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000138,"{'label': 'LABEL_1', 'score': 0.516}",LABEL_1,0.516
"Payment PAYMENT-000139 of ₹5647 from account XXXXXXXX6380 was processed on 2025-06-16 with Dual validation.
First validation completed on 20250614 with outcome: PASSED.
Second validation completed on 20250613 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000139,"{'label': 'LABEL_0', 'score': 0.502}",LABEL_0,0.502
"Payment PAYMENT-000140 of ₹5796 from account XXXXXXXX7909 was processed on 2025-06-24 with Dual validation.
First validation completed on 20250623 with outcome: PASSED.
Second validation completed on 20250622 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000140,"{'label': 'LABEL_0', 'score': 0.541}",LABEL_0,0.541
"Payment PAYMENT-000141 of ₹4415 from account XXXXXXXX9597 was processed on 2025-06-26 with Single validation.
First validation completed on 20250625 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000141,"{'label': 'LABEL_0', 'score': 0.604}",LABEL_0,0.604
"Payment PAYMENT-000142 of ₹8827 from account XXXXXXXX3271 was processed on 2025-06-21 with Dual validation.
First validation completed on 20250620 with outcome: PASSED.
Second validation completed on 20250617 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000142,"{'label': 'LABEL_1', 'score': 0.503}",LABEL_1,0.503
"Payment PAYMENT-000143 of ₹1097 from account XXXXXXXX2963 was processed on 2025-06-16 with Single validation.
First validation completed on 20250612 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000143,"{'label': 'LABEL_0', 'score': 0.631}",LABEL_0,0.631
"Payment PAYMENT-000144 of ₹3862 from account XXXXXXXX5229 was processed on 2025-07-28 with Single validation.
First validation completed on 20250724 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000144,"{'label': 'LABEL_0', 'score': 0.589}",LABEL_0,0.589
"Payment PAYMENT-000145 of ₹7107 from account XXXXXXXX5192 was processed on 2025-07-04 with Dual validation.
First validation completed on 20250629 with outcome: PASSED.
Second validation completed on 20250627 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000145,"{'label': 'LABEL_1', 'score': 0.543}",LABEL_1,0.543
"Payment PAYMENT-000146 of ₹3641 from account XXXXXXXX6360 was processed on 2025-06-04 with Single validation.
First validation completed on 20250531 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000146,"{'label': 'LABEL_0', 'score': 0.716}",LABEL_0,0.716
"Payment PAYMENT-000147 of ₹5195 from account XXXXXXXX9651 was processed on 2025-06-20 with Single validation.
First validation completed on 20250617 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000147,"{'label': 'LABEL_0', 'score': 0.603}",LABEL_0,0.603
"Payment PAYMENT-000148 of ₹1650 from account XXXXXXXX8057 was processed on 2025-07-11 with Single validation.
First validation completed on 20250707 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000148,"{'label': 'LABEL_0', 'score': 0.624}",LABEL_0,0.624
"Payment PAYMENT-000149 of ₹2754 from account XXXXXXXX3617 was processed on 2025-06-12 with Single validation.
First validation completed on 20250609 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000149,"{'label': 'LABEL_0', 'score': 0.659}",LABEL_0,0.659
"Payment PAYMENT-000150 of ₹4553 from account XXXXXXXX8371 was processed on 2025-07-02 with Single validation.
First validation completed on 20250701 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000150,"{'label': 'LABEL_0', 'score': 0.611}",LABEL_0,0.611
"Payment PAYMENT-000151 of ₹3893 from account XXXXXXXX1106 was processed on 2025-06-17 with Single validation.
First validation completed on 20250612 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000151,"{'label': 'LABEL_0', 'score': 0.563}",LABEL_0,0.563
"Payment PAYMENT-000152 of ₹3194 from account XXXXXXXX9816 was processed on 2025-06-03 with Single validation.
First validation completed on 20250601 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000152,"{'label': 'LABEL_0', 'score': 0.667}",LABEL_0,0.667
"Payment PAYMENT-000153 of ₹9844 from account XXXXXXXX2372 was processed on 2025-06-14 with Dual validation.
First validation completed on 20250612 with outcome: PASSED.
Second validation completed on 20250610 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000153,"{'label': 'LABEL_1', 'score': 0.569}",LABEL_1,0.569
"Payment PAYMENT-000154 of ₹7328 from account XXXXXXXX2852 was processed on 2025-07-21 with Dual validation.
First validation completed on 20250717 with outcome: PASSED.
Second validation completed on 20250714 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000154,"{'label': 'LABEL_1', 'score': 0.566}",LABEL_1,0.566
"Payment PAYMENT-000155 of ₹873 from account XXXXXXXX6618 was processed on 2025-06-06 with Single validation.
First validation completed on 20250605 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000155,"{'label': 'LABEL_0', 'score': 0.646}",LABEL_0,0.646
"Payment PAYMENT-000156 of ₹7693 from account XXXXXXXX1492 was processed on 2025-07-07 with Dual validation.
First validation completed on 20250704 with outcome: PASSED.
Second validation completed on 20250701 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000156,"{'label': 'LABEL_1', 'score': 0.515}",LABEL_1,0.515
"Payment PAYMENT-000157 of ₹5009 from account XXXXXXXX7836 was processed on 2025-06-09 with Dual validation.
First validation completed on 20250606 with outcome: PASSED.
Second validation completed on 20250605 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000157,"{'label': 'LABEL_1', 'score': 0.56}",LABEL_1,0.56
"Payment PAYMENT-000158 of ₹3513 from account XXXXXXXX2024 was processed on 2025-07-31 with Single validation.
First validation completed on 20250728 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000158,"{'label': 'LABEL_0', 'score': 0.609}",LABEL_0,0.609
"Payment PAYMENT-000159 of ₹1557 from account XXXXXXXX4602 was processed on 2025-06-20 with Single validation.
First validation completed on 20250616 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000159,"{'label': 'LABEL_0', 'score': 0.617}",LABEL_0,0.617
"Payment PAYMENT-000160 of ₹1940 from account XXXXXXXX2259 was processed on 2025-06-16 with Single validation.
First validation completed on 20250611 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000160,"{'label': 'LABEL_0', 'score': 0.654}",LABEL_0,0.654
"Payment PAYMENT-000161 of ₹3359 from account XXXXXXXX1732 was processed on 2025-06-02 with Single validation.
First validation completed on 20250531 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000161,"{'label': 'LABEL_0', 'score': 0.623}",LABEL_0,0.623
"Payment PAYMENT-000162 of ₹7313 from account XXXXXXXX4018 was processed on 2025-06-02 with Dual validation.
First validation completed on 20250530 with outcome: PASSED.
Second validation completed on 20250529 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000162,"{'label': 'LABEL_0', 'score': 0.53}",LABEL_0,0.53
"Payment PAYMENT-000163 of ₹7226 from account XXXXXXXX7683 was processed on 2025-07-31 with Dual validation.
First validation completed on 20250728 with outcome: PASSED.
Second validation completed on 20250726 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000163,"{'label': 'LABEL_0', 'score': 0.552}",LABEL_0,0.552
"Payment PAYMENT-000164 of ₹9182 from account XXXXXXXX5039 was processed on 2025-07-11 with Dual validation.
First validation completed on 20250710 with outcome: PASSED.
Second validation completed on 20250707 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000164,"{'label': 'LABEL_1', 'score': 0.504}",LABEL_1,0.504
"Payment PAYMENT-000165 of ₹2957 from account XXXXXXXX2071 was processed on 2025-07-13 with Single validation.
First validation completed on 20250711 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000165,"{'label': 'LABEL_0', 'score': 0.533}",LABEL_0,0.533
"Payment PAYMENT-000166 of ₹4017 from account XXXXXXXX8961 was processed on 2025-06-16 with Single validation.
First validation completed on 20250614 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000166,"{'label': 'LABEL_0', 'score': 0.719}",LABEL_0,0.719
"Payment PAYMENT-000167 of ₹6488 from account XXXXXXXX6198 was processed on 2025-07-19 with Dual validation.
First validation completed on 20250717 with outcome: PASSED.
Second validation completed on 20250714 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000167,"{'label': 'LABEL_1', 'score': 0.523}",LABEL_1,0.523
"Payment PAYMENT-000168 of ₹9744 from account XXXXXXXX7334 was processed on 2025-07-02 with Dual validation.
First validation completed on 20250701 with outcome: PASSED.
Second validation completed on 20250630 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000168,"{'label': 'LABEL_0', 'score': 0.568}",LABEL_0,0.568
"Payment PAYMENT-000169 of ₹5992 from account XXXXXXXX8617 was processed on 2025-06-05 with Single validation.
First validation completed on 20250604 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000169,"{'label': 'LABEL_0', 'score': 0.697}",LABEL_0,0.697
"Payment PAYMENT-000170 of ₹9121 from account XXXXXXXX4198 was processed on 2025-06-15 with Dual validation.
First validation completed on 20250611 with outcome: PASSED.
Second validation completed on 20250608 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000170,"{'label': 'LABEL_0', 'score': 0.544}",LABEL_0,0.544
"Payment PAYMENT-000171 of ₹1015 from account XXXXXXXX8423 was processed on 2025-07-11 with Single validation.
First validation completed on 20250707 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000171,"{'label': 'LABEL_0', 'score': 0.584}",LABEL_0,0.584
"Payment PAYMENT-000172 of ₹8740 from account XXXXXXXX3069 was processed on 2025-07-16 with Dual validation.
First validation completed on 20250715 with outcome: PASSED.
Second validation completed on 20250712 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000172,"{'label': 'LABEL_0', 'score': 0.548}",LABEL_0,0.548
"Payment PAYMENT-000173 of ₹3420 from account XXXXXXXX5021 was processed on 2025-07-11 with Single validation.
First validation completed on 20250709 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000173,"{'label': 'LABEL_0', 'score': 0.624}",LABEL_0,0.624
"Payment PAYMENT-000174 of ₹3323 from account XXXXXXXX9285 was processed on 2025-06-12 with Single validation.
First validation completed on 20250607 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000174,"{'label': 'LABEL_0', 'score': 0.648}",LABEL_0,0.648
"Payment PAYMENT-000175 of ₹1328 from account XXXXXXXX8907 was processed on 2025-07-14 with Single validation.
First validation completed on 20250712 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000175,"{'label': 'LABEL_0', 'score': 0.603}",LABEL_0,0.603
"Payment PAYMENT-000176 of ₹2581 from account XXXXXXXX3580 was processed on 2025-07-14 with Single validation.
First validation completed on 20250710 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000176,"{'label': 'LABEL_0', 'score': 0.653}",LABEL_0,0.653
"Payment PAYMENT-000177 of ₹4774 from account XXXXXXXX3066 was processed on 2025-07-07 with Single validation.
First validation completed on 20250704 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000177,"{'label': 'LABEL_0', 'score': 0.666}",LABEL_0,0.666
"Payment PAYMENT-000178 of ₹9188 from account XXXXXXXX8639 was processed on 2025-07-01 with Dual validation.
First validation completed on 20250627 with outcome: PASSED.
Second validation completed on 20250624 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000178,"{'label': 'LABEL_0', 'score': 0.568}",LABEL_0,0.568
"Payment PAYMENT-000179 of ₹8503 from account XXXXXXXX2216 was processed on 2025-06-02 with Dual validation.
First validation completed on 20250601 with outcome: PASSED.
Second validation completed on 20250531 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000179,"{'label': 'LABEL_1', 'score': 0.511}",LABEL_1,0.511
"Payment PAYMENT-000180 of ₹6319 from account XXXXXXXX7011 was processed on 2025-06-01 with Dual validation.
First validation completed on 20250528 with outcome: PASSED.
Second validation completed on 20250527 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000180,"{'label': 'LABEL_0', 'score': 0.559}",LABEL_0,0.559
"Payment PAYMENT-000181 of ₹8902 from account XXXXXXXX6546 was processed on 2025-06-13 with Dual validation.
First validation completed on 20250612 with outcome: FAILED.
Second validation completed on 20250611 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000181,"{'label': 'LABEL_0', 'score': 0.56}",LABEL_0,0.56
"Payment PAYMENT-000182 of ₹1250 from account XXXXXXXX3798 was processed on 2025-07-24 with Single validation.
First validation completed on 20250721 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000182,"{'label': 'LABEL_0', 'score': 0.662}",LABEL_0,0.662
"Payment PAYMENT-000183 of ₹5730 from account XXXXXXXX2088 was processed on 2025-06-17 with Dual validation.
First validation completed on 20250614 with outcome: PASSED.
Second validation completed on 20250611 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000183,"{'label': 'LABEL_1', 'score': 0.541}",LABEL_1,0.541
"Payment PAYMENT-000184 of ₹2856 from account XXXXXXXX3541 was processed on 2025-07-06 with Single validation.
First validation completed on 20250705 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000184,"{'label': 'LABEL_0', 'score': 0.667}",LABEL_0,0.667
"Payment PAYMENT-000185 of ₹9251 from account XXXXXXXX7049 was processed on 2025-06-16 with Dual validation.
First validation completed on 20250614 with outcome: PASSED.
Second validation completed on 20250612 with outcome: FAILED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000185,"{'label': 'LABEL_0', 'score': 0.555}",LABEL_0,0.555
"Payment PAYMENT-000186 of ₹2341 from account XXXXXXXX5600 was processed on 2025-06-07 with Single validation.
First validation completed on 20250606 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000186,"{'label': 'LABEL_0', 'score': 0.619}",LABEL_0,0.619
"Payment PAYMENT-000187 of ₹3645 from account XXXXXXXX6319 was processed on 2025-06-03 with Single validation.
First validation completed on 20250602 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000187,"{'label': 'LABEL_0', 'score': 0.633}",LABEL_0,0.633
"Payment PAYMENT-000188 of ₹3495 from account XXXXXXXX7050 was processed on 2025-06-10 with Single validation.
First validation completed on 20250607 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000188,"{'label': 'LABEL_0', 'score': 0.583}",LABEL_0,0.583
"Payment PAYMENT-000189 of ₹3239 from account XXXXXXXX2352 was processed on 2025-06-15 with Single validation.
First validation completed on 20250614 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000189,"{'label': 'LABEL_0', 'score': 0.526}",LABEL_0,0.526
"Payment PAYMENT-000190 of ₹982 from account XXXXXXXX1719 was processed on 2025-06-12 with Single validation.
First validation completed on 20250611 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000190,"{'label': 'LABEL_0', 'score': 0.715}",LABEL_0,0.715
"Payment PAYMENT-000191 of ₹555 from account XXXXXXXX8617 was processed on 2025-07-01 with Single validation.
First validation completed on 20250630 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000191,"{'label': 'LABEL_0', 'score': 0.596}",LABEL_0,0.596
"Payment PAYMENT-000192 of ₹3381 from account XXXXXXXX5865 was processed on 2025-07-30 with Single validation.
First validation completed on 20250729 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000192,"{'label': 'LABEL_0', 'score': 0.586}",LABEL_0,0.586
