prompt,Payment ID,NER_Entities,NER_Overlay
"Payment PAYMENT-000237 of ₹3168 from account XXXXXXXX8991 was processed on 2025-07-20 with Single validation.
First validation completed on 20250717 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000237,"[{'text': 'PAYMENT-000237', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹3168', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX8991', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-20', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000237|] of [₹3168|] from account [XXXXXXXX8991|] was processed on [2025-07-20|] with Single validation.
First validation completed on 20250717 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000238 of ₹3670 from account XXXXXXXX4651 was processed on 2025-07-05 with Single validation.
First validation completed on 20250630 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000238,"[{'text': 'PAYMENT-000238', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹3670', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX4651', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-05', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000238|] of [₹3670|] from account [XXXXXXXX4651|] was processed on [2025-07-05|] with Single validation.
First validation completed on 20250630 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000239 of ₹1666 from account XXXXXXXX1333 was processed on 2025-07-15 with Single validation.
First validation completed on 20250710 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000239,"[{'text': 'PAYMENT-000239', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹1666', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX1333', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-15', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000239|] of [₹1666|] from account [XXXXXXXX1333|] was processed on [2025-07-15|] with Single validation.
First validation completed on 20250710 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000240 of ₹4443 from account XXXXXXXX8288 was processed on 2025-07-07 with Single validation.
First validation completed on 20250705 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000240,"[{'text': 'PAYMENT-000240', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹4443', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX8288', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-07', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000240|] of [₹4443|] from account [XXXXXXXX8288|] was processed on [2025-07-07|] with Single validation.
First validation completed on 20250705 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000241 of ₹4798 from account XXXXXXXX5597 was processed on 2025-06-29 with Single validation.
First validation completed on 20250624 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000241,"[{'text': 'PAYMENT-000241', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹4798', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX5597', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-06-29', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000241|] of [₹4798|] from account [XXXXXXXX5597|] was processed on [2025-06-29|] with Single validation.
First validation completed on 20250624 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000242 of ₹3909 from account XXXXXXXX3499 was processed on 2025-06-21 with Single validation.
First validation completed on 20250619 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000242,"[{'text': 'PAYMENT-000242', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹3909', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX3499', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-06-21', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000242|] of [₹3909|] from account [XXXXXXXX3499|] was processed on [2025-06-21|] with Single validation.
First validation completed on 20250619 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000243 of ₹3988 from account XXXXXXXX7186 was processed on 2025-07-24 with Single validation.
First validation completed on 20250720 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000243,"[{'text': 'PAYMENT-000243', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹3988', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX7186', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-24', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000243|] of [₹3988|] from account [XXXXXXXX7186|] was processed on [2025-07-24|] with Single validation.
First validation completed on 20250720 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000244 of ₹1195 from account XXXXXXXX3608 was processed on 2025-07-12 with Single validation.
First validation completed on 20250708 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000244,"[{'text': 'PAYMENT-000244', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹1195', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX3608', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-12', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000244|] of [₹1195|] from account [XXXXXXXX3608|] was processed on [2025-07-12|] with Single validation.
First validation completed on 20250708 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000245 of ₹3858 from account XXXXXXXX3990 was processed on 2025-07-16 with Single validation.
First validation completed on 20250713 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000245,"[{'text': 'PAYMENT-000245', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹3858', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX3990', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-16', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000245|] of [₹3858|] from account [XXXXXXXX3990|] was processed on [2025-07-16|] with Single validation.
First validation completed on 20250713 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000246 of ₹4119 from account XXXXXXXX6761 was processed on 2025-06-16 with Single validation.
First validation completed on 20250615 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000246,"[{'text': 'PAYMENT-000246', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹4119', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX6761', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-06-16', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000246|] of [₹4119|] from account [XXXXXXXX6761|] was processed on [2025-06-16|] with Single validation.
First validation completed on 20250615 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000247 of ₹178 from account XXXXXXXX5308 was processed on 2025-07-07 with Single validation.
First validation completed on 20250705 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000247,"[{'text': 'PAYMENT-000247', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹178', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 30}, {'text': 'XXXXXXXX5308', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 44, 'end': 56}, {'text': '2025-07-07', 'label': 'DATE', 'score': np.float32(0.999), 'start': 74, 'end': 84}]","Payment [PAYMENT-000247|] of [₹178|] from account [XXXXXXXX5308|] was processed on [2025-07-07|] with Single validation.
First validation completed on 20250705 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000248 of ₹7716 from account XXXXXXXX4685 was processed on 2025-06-06 with Dual validation.
First validation completed on 20250602 with outcome: PASSED.
Second validation completed on 20250530 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000248,"[{'text': 'PAYMENT-000248', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹7716', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX4685', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-06-06', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000248|] of [₹7716|] from account [XXXXXXXX4685|] was processed on [2025-06-06|] with Dual validation.
First validation completed on 20250602 with outcome: PASSED.
Second validation completed on 20250530 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000249 of ₹4149 from account XXXXXXXX4665 was processed on 2025-06-08 with Single validation.
First validation completed on 20250607 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000249,"[{'text': 'PAYMENT-000249', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹4149', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX4665', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-06-08', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000249|] of [₹4149|] from account [XXXXXXXX4665|] was processed on [2025-06-08|] with Single validation.
First validation completed on 20250607 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000250 of ₹2113 from account XXXXXXXX5823 was processed on 2025-07-11 with Single validation.
First validation completed on 20250706 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000250,"[{'text': 'PAYMENT-000250', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹2113', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX5823', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-11', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000250|] of [₹2113|] from account [XXXXXXXX5823|] was processed on [2025-07-11|] with Single validation.
First validation completed on 20250706 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000251 of ₹4176 from account XXXXXXXX8548 was processed on 2025-07-23 with Single validation.
First validation completed on 20250719 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000251,"[{'text': 'PAYMENT-000251', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹4176', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX8548', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-23', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000251|] of [₹4176|] from account [XXXXXXXX8548|] was processed on [2025-07-23|] with Single validation.
First validation completed on 20250719 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000252 of ₹3379 from account XXXXXXXX3905 was processed on 2025-07-27 with Single validation.
First validation completed on 20250722 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000252,"[{'text': 'PAYMENT-000252', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹3379', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX3905', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-27', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000252|] of [₹3379|] from account [XXXXXXXX3905|] was processed on [2025-07-27|] with Single validation.
First validation completed on 20250722 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000253 of ₹243 from account XXXXXXXX4761 was processed on 2025-06-29 with Single validation.
First validation completed on 20250624 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000253,"[{'text': 'PAYMENT-000253', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹243', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 30}, {'text': 'XXXXXXXX4761', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 44, 'end': 56}, {'text': '2025-06-29', 'label': 'DATE', 'score': np.float32(0.999), 'start': 74, 'end': 84}]","Payment [PAYMENT-000253|] of [₹243|] from account [XXXXXXXX4761|] was processed on [2025-06-29|] with Single validation.
First validation completed on 20250624 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000254 of ₹6109 from account XXXXXXXX3348 was processed on 2025-07-21 with Dual validation.
First validation completed on 20250720 with outcome: PASSED.
Second validation completed on 20250717 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000254,"[{'text': 'PAYMENT-000254', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹6109', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX3348', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-21', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000254|] of [₹6109|] from account [XXXXXXXX3348|] was processed on [2025-07-21|] with Dual validation.
First validation completed on 20250720 with outcome: PASSED.
Second validation completed on 20250717 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000255 of ₹8298 from account XXXXXXXX4159 was processed on 2025-06-12 with Dual validation.
First validation completed on 20250609 with outcome: PASSED.
Second validation completed on 20250606 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000255,"[{'text': 'PAYMENT-000255', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹8298', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX4159', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-06-12', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000255|] of [₹8298|] from account [XXXXXXXX4159|] was processed on [2025-06-12|] with Dual validation.
First validation completed on 20250609 with outcome: PASSED.
Second validation completed on 20250606 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000256 of ₹8651 from account XXXXXXXX7081 was processed on 2025-06-11 with Dual validation.
First validation completed on 20250609 with outcome: PASSED.
Second validation completed on 20250607 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000256,"[{'text': 'PAYMENT-000256', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹8651', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX7081', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-06-11', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000256|] of [₹8651|] from account [XXXXXXXX7081|] was processed on [2025-06-11|] with Dual validation.
First validation completed on 20250609 with outcome: PASSED.
Second validation completed on 20250607 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000257 of ₹7800 from account XXXXXXXX9458 was processed on 2025-07-12 with Dual validation.
First validation completed on 20250708 with outcome: PASSED.
Second validation completed on 20250706 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000257,"[{'text': 'PAYMENT-000257', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹7800', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX9458', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-12', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000257|] of [₹7800|] from account [XXXXXXXX9458|] was processed on [2025-07-12|] with Dual validation.
First validation completed on 20250708 with outcome: PASSED.
Second validation completed on 20250706 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000258 of ₹1683 from account XXXXXXXX8641 was processed on 2025-07-01 with Single validation.
First validation completed on 20250628 with outcome: FAILED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000258,"[{'text': 'PAYMENT-000258', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹1683', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX8641', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-01', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000258|] of [₹1683|] from account [XXXXXXXX8641|] was processed on [2025-07-01|] with Single validation.
First validation completed on 20250628 with outcome: FAILED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000259 of ₹2087 from account XXXXXXXX3271 was processed on 2025-06-03 with Single validation.
First validation completed on 20250529 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000259,"[{'text': 'PAYMENT-000259', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹2087', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX3271', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-06-03', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000259|] of [₹2087|] from account [XXXXXXXX3271|] was processed on [2025-06-03|] with Single validation.
First validation completed on 20250529 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000260 of ₹3484 from account XXXXXXXX6499 was processed on 2025-06-02 with Single validation.
First validation completed on 20250530 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000260,"[{'text': 'PAYMENT-000260', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹3484', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX6499', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-06-02', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000260|] of [₹3484|] from account [XXXXXXXX6499|] was processed on [2025-06-02|] with Single validation.
First validation completed on 20250530 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000261 of ₹5763 from account XXXXXXXX7947 was processed on 2025-07-27 with Dual validation.
First validation completed on 20250726 with outcome: PASSED.
Second validation completed on 20250725 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000261,"[{'text': 'PAYMENT-000261', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹5763', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX7947', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-27', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000261|] of [₹5763|] from account [XXXXXXXX7947|] was processed on [2025-07-27|] with Dual validation.
First validation completed on 20250726 with outcome: PASSED.
Second validation completed on 20250725 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000262 of ₹4571 from account XXXXXXXX5851 was processed on 2025-07-05 with Single validation.
First validation completed on 20250701 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000262,"[{'text': 'PAYMENT-000262', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹4571', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX5851', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-05', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000262|] of [₹4571|] from account [XXXXXXXX5851|] was processed on [2025-07-05|] with Single validation.
First validation completed on 20250701 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000263 of ₹1533 from account XXXXXXXX6397 was processed on 2025-07-11 with Single validation.
First validation completed on 20250708 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000263,"[{'text': 'PAYMENT-000263', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹1533', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX6397', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-07-11', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000263|] of [₹1533|] from account [XXXXXXXX6397|] was processed on [2025-07-11|] with Single validation.
First validation completed on 20250708 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
"Payment PAYMENT-000264 of ₹8379 from account XXXXXXXX3915 was processed on 2025-06-14 with Dual validation.
First validation completed on 20250612 with outcome: PASSED.
Second validation completed on 20250610 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000264,"[{'text': 'PAYMENT-000264', 'label': 'PAYMENT_ID', 'score': np.float32(0.999), 'start': 8, 'end': 22}, {'text': '₹8379', 'label': 'AMOUNT', 'score': np.float32(0.999), 'start': 26, 'end': 31}, {'text': 'XXXXXXXX3915', 'label': 'ACCOUNT', 'score': np.float32(0.999), 'start': 45, 'end': 57}, {'text': '2025-06-14', 'label': 'DATE', 'score': np.float32(0.999), 'start': 75, 'end': 85}]","Payment [PAYMENT-000264|] of [₹8379|] from account [XXXXXXXX3915|] was processed on [2025-06-14|] with Dual validation.
First validation completed on 20250612 with outcome: PASSED.
Second validation completed on 20250610 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?"
