Payment ID,Q1 Label,Q2 Label
PAYMENT-000829,Yes,Yes
PAYMENT-000830,Yes,Yes
PAYMENT-000831,Yes,No
PAYMENT-000832,Yes,Yes
PAYMENT-000833,No,Yes
PAYMENT-000834,No,Yes
PAYMENT-000835,Yes,Yes
PAYMENT-000836,Yes,Yes
PAYMENT-000837,No,Yes
PAYMENT-000838,Yes,Yes
PAYMENT-000839,No,Yes
PAYMENT-000840,No,Yes
PAYMENT-000841,No,Yes
PAYMENT-000842,No,Yes
PAYMENT-000843,Yes,Yes
PAYMENT-000844,No,Yes
PAYMENT-000845,No,Yes
PAYMENT-000846,No,No
PAYMENT-000847,No,Yes
PAYMENT-000848,Yes,Yes
PAYMENT-000849,No,Yes
PAYMENT-000850,Yes,Yes
PAYMENT-000851,Yes,Yes
PAYMENT-000852,Yes,Yes
PAYMENT-000853,Yes,Yes
PAYMENT-000854,No,Yes
PAYMENT-000855,Yes,Yes
PAYMENT-000856,Yes,Yes
PAYMENT-000857,No,Yes
PAYMENT-000858,No,Yes
PAYMENT-000859,No,Yes
PAYMENT-000860,No,Yes
PAYMENT-000861,Yes,No
PAYMENT-000862,No,Yes
PAYMENT-000863,No,Yes
PAYMENT-000864,Yes,Yes
PAYMENT-000865,No,Yes
PAYMENT-000866,No,Yes
PAYMENT-000867,No,Yes
PAYMENT-000868,No,No
PAYMENT-000869,No,Yes
PAYMENT-000870,Yes,No
PAYMENT-000871,No,Yes
PAYMENT-000872,No,No
PAYMENT-000873,Yes,Yes
PAYMENT-000874,No,Yes
PAYMENT-000875,No,Yes
PAYMENT-000876,No,Yes
PAYMENT-000877,Yes,Yes
PAYMENT-000878,No,Yes
PAYMENT-000879,No,Yes
PAYMENT-000880,No,Yes
PAYMENT-000881,Yes,Yes
PAYMENT-000882,No,Yes
PAYMENT-000883,Yes,Yes
PAYMENT-000884,No,No
PAYMENT-000885,No,Yes
PAYMENT-000886,Yes,Yes
PAYMENT-000887,No,Yes
PAYMENT-000888,No,Yes
PAYMENT-000889,Yes,No
PAYMENT-000890,Yes,Yes
PAYMENT-000891,Yes,Yes
PAYMENT-000892,Yes,Yes
PAYMENT-000893,No,Yes
PAYMENT-000894,No,Yes
PAYMENT-000895,Yes,Yes
PAYMENT-000896,Yes,Yes
PAYMENT-000897,Yes,Yes
PAYMENT-000898,No,Yes
PAYMENT-000899,Yes,Yes
PAYMENT-000900,Yes,Yes
PAYMENT-000901,No,Yes
PAYMENT-000902,Yes,Yes
PAYMENT-000903,No,Yes
PAYMENT-000904,Yes,Yes
PAYMENT-000905,Yes,Yes
PAYMENT-000906,No,Yes
PAYMENT-000907,No,Yes
PAYMENT-000908,No,Yes
PAYMENT-000909,No,Yes
PAYMENT-000910,Yes,Yes
PAYMENT-000911,Yes,Yes
PAYMENT-000912,Yes,Yes
PAYMENT-000913,No,Yes
PAYMENT-000914,Yes,Yes
PAYMENT-000915,No,Yes
PAYMENT-000916,Yes,Yes
PAYMENT-000917,No,Yes
PAYMENT-000918,No,Yes
PAYMENT-000919,Yes,Yes
PAYMENT-000920,No,No
PAYMENT-000921,No,Yes
PAYMENT-000922,No,Yes
PAYMENT-000923,Yes,Yes
PAYMENT-000924,No,Yes
PAYMENT-000925,No,Yes
PAYMENT-000926,No,Yes
PAYMENT-000927,Yes,No
PAYMENT-000928,No,Yes
PAYMENT-000929,No,Yes
PAYMENT-000930,Yes,No
PAYMENT-000931,Yes,Yes
PAYMENT-000932,Yes,No
PAYMENT-000933,No,Yes
PAYMENT-000934,No,Yes
PAYMENT-000935,No,Yes
PAYMENT-000936,Yes,Yes
PAYMENT-000937,Yes,Yes
PAYMENT-000938,Yes,No
PAYMENT-000939,No,No
PAYMENT-000940,No,Yes
PAYMENT-000941,No,Yes
PAYMENT-000942,No,Yes
PAYMENT-000943,Yes,Yes
PAYMENT-000944,No,Yes
PAYMENT-000945,Yes,Yes
PAYMENT-000946,Yes,Yes
PAYMENT-000947,Yes,Yes
PAYMENT-000948,No,Yes
PAYMENT-000949,No,Yes
PAYMENT-000950,Yes,Yes
PAYMENT-000951,No,No
PAYMENT-000952,No,Yes
PAYMENT-000953,No,Yes
PAYMENT-000954,No,Yes
PAYMENT-000955,Yes,Yes
PAYMENT-000956,No,Yes
PAYMENT-000957,Yes,Yes
PAYMENT-000958,Yes,Yes
PAYMENT-000959,No,Yes
PAYMENT-000960,Yes,Yes
PAYMENT-000961,Yes,Yes
PAYMENT-000962,No,Yes
PAYMENT-000963,Yes,Yes
PAYMENT-000964,No,Yes
PAYMENT-000965,No,Yes
PAYMENT-000966,Yes,Yes
PAYMENT-000967,Yes,Yes
PAYMENT-000968,No,Yes
PAYMENT-000969,No,Yes
PAYMENT-000970,Yes,No
PAYMENT-000971,No,Yes
PAYMENT-000972,No,Yes
PAYMENT-000973,Yes,Yes
PAYMENT-000974,No,Yes
PAYMENT-000975,No,No
PAYMENT-000976,No,Yes
PAYMENT-000977,No,Yes
PAYMENT-000978,No,Yes
PAYMENT-000979,Yes,Yes
PAYMENT-000980,Yes,Yes
PAYMENT-000981,No,Yes
PAYMENT-000982,Yes,Yes
PAYMENT-000983,Yes,Yes
PAYMENT-000984,Yes,Yes
PAYMENT-000985,Yes,Yes
PAYMENT-000986,Yes,Yes
PAYMENT-000987,Yes,Yes
PAYMENT-000988,No,Yes
PAYMENT-000989,Yes,Yes
PAYMENT-000990,Yes,Yes
PAYMENT-000991,No,Yes
PAYMENT-000992,No,Yes
PAYMENT-000993,No,Yes
PAYMENT-000994,Yes,Yes
PAYMENT-000995,No,Yes
PAYMENT-000996,Yes,Yes
PAYMENT-000997,Yes,Yes
PAYMENT-000998,No,Yes
PAYMENT-000999,Yes,Yes
